Employee ID,First Name,Last Name,Date of birth,Salary,Manager Id,Join Date
1,Rebbecca,Didio,1965-02-16,1438,3,2016-03-04
2,Stevie,Hallo,1965-08-19,6507,5,2015-09-09
3,Mariko,Stayer,1965-12-27,9636,18,2012-08-30
4,Gerardo,Woodka,1966-11-15,6762,21,2012-03-11
5,Mayra,Bena,1968-01-16,8898,18,2017-06-16
6,Idella,Scotland,1971-03-15,5189,3,2014-12-21
7,Sherill,Klar,1972-05-19,5829,3,2018-04-07
8,Ena,Desjardiws,1973-08-29,1725,5,2011-10-07
9,Vince,Siena,1976-03-15,9517,18,2017-12-10
10,Theron,Jarding,1977-11-18,2275,5,2013-03-19
11,Amira,Chudej,1968-09-13,1652,3,2019-04-26
12,Marica,Tarbor,1970-06-10,7736,9,2018-12-18
13,Shawna,Albrough,1976-02-26,7961,3,2013-06-03
14,Paulina,Maker,1976-05-25,4284,21,2019-07-13
15,Rose,Jebb,1976-12-01,4905,9,2012-08-21
16,Reita,Tabar,1977-01-18,7548,21,2016-06-19
17,Maybelle,Bewley,1981-06-02,8055,3,2015-08-14
18,Camellia,Pylant,1981-08-17,15341,,2013-11-07
19,Roy,Nybo,1982-09-02,5030,9,2014-07-21
20,Albert,Sonier,1983-03-04,2449,21,2018-05-08
21,Hayley,Taghon,1983-06-06,9163,18,2015-11-02
22,Norah,Daleo,1983-09-02,6927,21,2014-05-21
23,Rosina,Sidhu,1983-10-25,7660,9,2012-08-19
24,Royal,Costeira,1984-07-13,8387,18,2010-08-04
25,Barrie,Nicley,1984-08-17,3148,21,2012-09-12
26,Linsey,Gedman,1988-10-28,6185,5,2015-12-25
