Employee ID,First Name,Last Name,Date of birth,Annual Salary,Manager Id
1,Rebbecca,Didio,2/16/1965,17250,3
2,Stevie,Hallo,8/19/1965,78088,5
3,Mariko,Stayer,12/27/1965,115633,18
4,Gerardo,Woodka,11/15/1966,81146,21
5,Mayra,Bena,1/16/1968,106771,18
6,Idella,Scotland,3/15/1971,62272,3
7,Sherill,Klar,5/19/1972,69948,3
8,Ena,Desjardiws,8/29/1973,20705,5
9,Vince,Siena,3/15/1976,114204,18
10,Theron,Jarding,11/18/1977,27301,5
11,Amira,Chudej,9/13/1968,19819,3
12,Marica,Tarbor,6/10/1970,92826,9
13,Shawna,Albrough,2/26/1976,95535,3
14,Paulina,Maker,5/25/1976,51403,21
15,Rose,Jebb,12/1/1976,58860,9
16,Reita,Tabar,1/18/1977,90579,21
17,Maybelle,Bewley,6/2/1981,96665,3
18,Camellia,Pylant,8/17/1981,184095,
19,Roy,Nybo,9/2/1982,60365,9
20,Albert,Sonier,3/4/1983,29382,21
21,Hayley,Taghon,6/6/1983,109954,18
22,Norah,Daleo,9/2/1983,83120,21
23,Rosina,Sidhu,10/25/1983,91916,9
24,Royal,Costeira,7/13/1984,100644,18
25,Barrie,Nicley,8/17/1984,37778,21
26,Linsey,Gedman,10/28/1988,74220,5
